Iteration,Function Value
718,-2432.185209809625
719,-2432.1891563322733
720,-2432.1913693796355
721,-2432.1965954954
722,-2432.199850531892
723,-2432.202379216733
724,-2432.206468312206
725,-2432.210277244104
726,-2432.2124341358303
727,-2432.2174755764668
728,-2432.220628484123
729,-2432.223084623085
730,-2432.2270474887864
731,-2432.230722963359
732,-2432.2328272464038
733,-2432.2376889450834
734,-2432.2407426070504
735,-2432.243130264972
736,-2432.246969805682
737,-2432.2505158474332
738,-2432.2525708599587
739,-2432.257257653241
740,-2432.2602148639226
741,-2432.262537892918
742,-2432.2662569458616
743,-2432.2696774747187
744,-2432.2716863522323
745,-2432.2762029846544
746,-2432.279066453779
747,-2432.2813284992726
748,-2432.2849298385013
749,-2432.2882286738827
750,-2432.290194355267
751,-2432.294545483572
752,-2432.297317840087
753,-2432.299522346692
754,-2432.303008687269
755,-2432.306189551904
756,-2432.3081147853336
757,-2432.3123049823726
758,-2432.3149887781747
759,-2432.31713899542
760,-2432.3205129974185
761,-2432.3235795209234
762,-2432.3254668696836
763,-2432.329500627996
764,-2432.3320983415106
765,-2432.3341973294364
766,-2432.3374616017454
767,-2432.3404173239737
768,-2432.3422691721908
769,-2432.3461509072845
770,-2432.3486649468796
771,-2432.3507155815196
772,-2432.353872685473
773,-2432.356721059646
774,-2432.3585396179456
775,-2432.3622736712778
776,-2432.364706378548
777,-2432.3667113572974
778,-2432.3697638101075
779,-2432.3725082057454
780,-2432.374295516841
781,-2432.377886158525
782,-2432.380239811414
783,-2432.382201658318
784,-2432.3851519363375
785,-2432.3877956419865
786,-2432.3895535862202
787,-2432.3930050174486
788,-2432.395281833248
789,-2432.397202904214
790,-2432.4000534459974
791,-2432.4025996717764
792,-2432.4043299726172
793,-2432.407646327822
794,-2432.4098484660267
795,-2432.4117309539743
796,-2432.414484163162
797,-2432.4169360431274
798,-2432.4186402726446
799,-2432.421825621399
800,-2432.423955186421
801,-2432.4258011264
802,-2432.428459374407
803,-2432.4308199687375
804,-2432.432499553065
805,-2432.4355579017238
806,-2432.437616945484
807,-2432.439428219759
808,-2432.441993848265
809,-2432.444266145292
810,-2432.445922370085
811,-2432.448857663178
812,-2432.450848187558
813,-2432.452626530685
814,-2432.455101853934
815,-2432.4572887719996
816,-2432.4589227879105
817,-2432.461738909292
818,-2432.463662868452
819,-2432.465409872366
820,-2432.4677971792466
821,-2432.469901568414
822,-2432.471514396597
823,-2432.474215170345
824,-2432.476074472915
825,-2432.477791592036
826,-2432.480093147965
827,-2432.4821177915755
828,-2432.4837103292193
829,-2432.4862995203066
830,-2432.4880960314395
831,-2432.4897845878186
832,-2432.4920026363952
833,-2432.4939502524876
834,-2432.495523278405
835,-2432.4980045931325
836,-2432.4997401364235
837,-2432.5014013249374
838,-2432.503538089385
839,-2432.5054113319657
840,-2432.506965512242
841,-2432.509342598445
842,-2432.511018957719
843,-2432.512653851331
844,-2432.5147115357036
845,-2432.516512995892
846,-2432.5180488895994
847,-2432.5203253366312
848,-2432.5219442575913
849,-2432.52355381269
850,-2432.5255346028443
851,-2432.5272668098924
852,-2432.528784874875
853,-2432.530964213379
854,-2432.532527405122
855,-2432.534112466944
856,-2432.5360185312725
857,-2432.5376839534592
858,-2432.539184552202
859,-2432.541270253676
860,-2432.5427793900653
861,-2432.5443406982085
862,-2432.5461741881327
863,-2432.5477752335482
864,-2432.5492586391256
865,-2432.5512541152875
866,-2432.552710836192
867,-2432.554249030238
868,-2432.556012080449
869,-2432.557551097667
870,-2432.5590174997724
871,-2432.560926101746
872,-2432.562332014136
873,-2432.5638476393674
874,-2432.5655423678218
875,-2432.5670216464823
876,-2432.5684711575304
877,-2432.570296174859
878,-2432.5708485843734
